source_id,ra,dec,pmra,pmdec,parallax,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,mg
5542245319386060288,128.0828739311767,-36.99784020490818,-31.597538835010262,55.73305416385527,10.911685483655317,71.94558,18.333282,18.427774,17.885862,0.5419121,13.522741668059908
5542245319397657472,128.08459561332987,-36.99803284210717,-32.54076220334839,58.0419197501579,10.848546487230154,602.55927,14.110725,15.709354,12.885056,2.8242989,9.287583174463641
5542415846778481920,128.56426612168502,-35.81531797651161,-3.4616563552845196,-37.194744839902185,14.024834619412525,1255.1029,13.113724,14.119819,12.119724,2.0000944,8.848212498712748
5542415846778484608,128.56165718372682,-35.81539070788155,-3.528434506288429,-38.69742503419035,14.022713768488334,359.34033,16.15475,17.736862,14.934289,2.8025732,11.888911170526345
5542770336201711488,127.9435410668353,-34.92659652769995,-133.06882399411487,-18.80874660711448,14.156612343808225,452.39978,15.62571,17.195644,14.410464,2.78518,11.380506232518968
5542250748236303616,127.9844092861952,-36.847323390110304,100.93389746824798,-141.9981800822322,10.504894405135387,208.43808,16.792828,18.660288,15.507643,3.152645,11.899786062449103
5542777105070094720,127.97602355202888,-34.69686641066326,-6.287652773199049,-106.2589743037614,16.889622514167385,402.18933,16.390293,18.38115,15.077956,3.303193,12.52839283697087
5542424402354434944,128.95717951649516,-35.833973793666445,-12.59246808480765,-53.09313356909679,10.09644806728001,830.34607,12.797683,13.649463,11.893018,1.7564449,7.818525840915939
5253697837258235008,159.85887295863662,-61.794715578274335,-220.64172359718873,69.17316222804101,19.21471604975078,1108.5242,14.411333,16.066824,13.174539,2.8922853,10.829502938871347
5542267240910478336,127.84834957310193,-36.70417116022512,72.98656163326264,-74.85991618956544,17.91308437765255,1544.8453,10.245612,10.850576,9.508574,1.3420029,6.511464002488172
5542267270964254848,127.85867061354787,-36.693819348258685,74.84702690378009,-78.15722994773654,17.929947703923595,847.4608,7.4851656,7.9700866,6.8373156,1.132771,3.753060710319346
5542267962466916608,127.7242989070541,-36.681980638259006,222.66030858912396,-150.92471865849285,11.260412105254431,353.67157,15.817019,17.274792,14.577429,2.697363,11.074790887525712
5542616335854035328,126.66127710705655,-35.73647663005803,29.61167594672056,0.4778186995029596,11.779794633234955,455.43317,15.261197,16.635456,14.10794,2.5275164,10.616885685685205
5542454192248553216,128.3802991159402,-35.94652325180098,-193.32646054670306,74.27960261762718,13.693745079072787,128.59654,17.745907,20.224928,16.349422,3.8755054,13.428518024026744
5542302184765614208,128.14418757909766,-36.346821740720415,57.87722114626315,-24.420640707805475,11.854334997818459,968.63635,9.491483,9.83327,8.979199,0.85407066,4.86086871483052
5542320635945869952,127.54855101526837,-36.53470604194178,-116.39708492470189,109.71699542720526,11.257167358702924,431.2019,15.389018,16.793148,14.20427,2.5888777,10.64616367243287
5542845618388490112,125.47683979889241,-36.59583324498728,61.31183396191121,-122.69071035435798,10.22149539560819,436.53436,15.341002,16.675837,14.202725,2.4731112,10.388574650994453
5542858881247533568,125.36614868585279,-36.51266210852721,-159.28483135897247,24.137242009509244,19.080135407634113,1342.2538,11.291115,12.119833,10.405425,1.7144079,7.694022069498544
5253672995165348480,159.6472193239102,-61.90322222005279,-312.1203568435415,365.6462230791786,22.184171781817245,1103.4003,15.080197,16.782425,13.832973,2.9494524,11.810413431871375
5542524286113336192,127.26891735656807,-36.33619086887073,-3.464084130026613,95.71573816251151,13.996438789936752,509.2363,15.496665,16.94908,14.320838,2.6282415,11.22675274694226
5542935847063021184,125.02255889004495,-35.96013448567492,-43.69563914621036,143.60235802701357,14.17089051049747,815.1496,14.0872965,15.485129,12.926261,2.5588684,9.84428219855075
5542887983946649088,124.99300148334581,-36.43517936062944,-83.91683173943899,98.53661938288096,11.564963479447067,175.40898,17.291273,19.150162,15.976118,3.1740437,12.606994445400325
5542698283827444352,128.03668302649695,-35.03359436081227,-24.137447557904714,-0.6100399104002906,10.374164676392628,381.00073,15.644662,17.29462,14.410333,2.8842878,10.724427591247444
5542704262414480256,128.25562836555758,-35.181850117143306,-121.1168684226829,141.1562418191197,14.01737630725947,76.43862,19.031054,19.593523,18.419666,1.1738567,14.764387205426921
5542390283133240576,128.71740383981808,-36.157429574558186,-11.121891751504876,-100.78804457503843,10.99866982903383,963.0609,13.136533,14.214572,12.103104,2.1114683,8.343233608916861
5542217865970083712,126.7320798444961,-36.1000915494572,-14.969705070686068,75.9827185654168,44.731981263739065,2419.2827,12.854703,14.424762,11.63572,2.7890415,11.107793621121985
5542919040843949824,125.15454563273907,-36.12487612808211,-22.160796021839317,3.531950449221,18.451674188858355,1012.31067,14.7509575,16.118467,13.604482,2.5139856,11.081136376176335
5542991475467702656,126.34253601723968,-35.773036945453356,-14.040627767622762,-25.06396994092519,10.030439700113375,917.3113,11.917044,12.573236,11.121892,1.4513445,6.923643543012869
5542750063955100032,127.67302239185837,-34.912485000746145,-19.66333936370314,22.197515056626266,13.021063594328519,1068.7413,9.07419,9.413672,8.568648,0.8450241,4.647422439687983
5542750063955100416,127.67019493568189,-34.9093859513764,-20.809436282219725,22.74866173843047,12.976847962991965,1107.1171,13.107342,14.249163,12.043723,2.2054396,8.673187848664458
4265015843351492480,283.9815884827141,-1.715516915546506,10.479011267905378,3.375558130105897,20.818039874019625,952.79254,14.067962,15.596498,12.860863,2.7356348,10.660160872964184
4264975509329827968,284.3906075988811,-1.6464258273976335,-160.77403448426406,-24.504474556737364,14.000647251036117,266.48508,16.37273,17.917677,15.11438,2.803297,12.103470823180896
4264940702898336000,284.0274701132585,-1.9111804932970107,111.98656127873505,9.659165842220414,12.948099370809741,716.0319,13.670845,14.760182,12.600196,2.1599865,9.231875150524083
4264942214777843712,284.0464905797279,-1.8972203093329087,111.71935223257013,9.530274407432968,12.789668099632127,116.90529,17.3977,17.493317,17.274218,0.21909904,12.931995728054627
5543036418016883200,125.3901363233072,-35.745233026439045,-8.445938278896001,-59.678989736766624,10.055221163617892,155.31409,16.693748,18.61657,15.392023,3.2245464,11.705706610635982
4264986504484774784,283.77218376727905,-1.8787876734068851,-16.14230123504103,-144.95099559163577,12.60814441941414,635.2889,9.232085,9.520981,8.769115,0.7518654,4.735341101867656
4264915585979787904,284.08809773628286,-2.2063479604396345,25.486947078591452,-18.653684779602656,12.899799362266348,852.08813,10.16069,10.617066,9.544873,1.0721931,5.71360508526141
4264992375650163584,283.97773836952916,-1.730974759280905,62.58164563607984,-122.6599179190866,15.781601022670511,380.19458,15.252531,16.750927,14.037595,2.7133322,11.243286350198122
1836833649945422976,302.6944996201556,28.187389861517392,-5.844252455242451,16.72757234136689,10.731951709740102,165.85738,17.145386,19.066624,15.846266,3.220358,12.29877929129594
1836834337140192128,302.6535147017145,28.20090626539941,130.8889182855886,-44.488901785563264,54.96180121834234,2431.894,13.935087,16.053242,12.58987,3.4633713,12.635391989299595
1836649138155461888,301.5412481320455,27.02529586169205,81.41443025468044,-56.27724055426044,13.438999078114165,274.14124,16.506742,18.507648,15.186851,3.320798,12.148577098149168
1836867047611519232,301.9342047192574,28.132572089345835,22.277349672735593,36.56563333730881,19.2935906126736,1107.4875,14.41672,16.024992,13.196653,2.8283386,10.843785685656442
1836687483624035840,301.99856878041703,27.38354114630282,-97.17523631334706,0.07280013891424827,41.597077566167634,1533.5642,14.199698,16.315117,12.858753,3.4563637,12.295012548253538
1836882853091631104,302.58548457687675,28.295835299638018,38.637191561525235,39.50843349625614,15.166466369478202,1276.2861,10.334004,10.834993,9.677326,1.1576672,6.238426434307861
1836696692034406272,301.3002485305305,27.09921970102411,-54.42337136536021,-98.45031377246488,14.063056334859885,595.5667,15.006877,16.387014,13.854864,2.5321503,10.747275527974772
1836699715691400832,301.2802718476078,27.111190469657352,8.710346548235405,-10.223637530024366,10.075955234470387,650.946,9.916237,10.255546,9.40691,0.8486357,4.93266802415928
5862406681473044736,196.48551941807855,-63.02775890406042,-107.36612301465105,-5.939596317310058,16.018763794811036,561.1136,15.511046,17.173487,14.25681,2.9166765,11.534191397247042
1836757607542378880,301.56211246920356,27.704029020359755,-44.433735929609085,3.7344610423796496,16.66423231102463,132.56172,18.27874,18.60544,17.796043,0.80939674,14.387666485949044
5862620188561109248,191.90609821889387,-64.1878463919693,77.52739106052626,-8.27197882133864,10.405089651491236,316.56348,15.880879,17.39646,14.671997,2.7244625,10.967108534644286
5862620192909333760,191.9006170985057,-64.18784451133442,79.2318003617287,-8.83644975120531,10.44550517613254,879.5166,12.814036,13.691411,11.894276,1.7971354,7.908683612399557
5862508042704155392,197.16378241132318,-62.87435983127765,-170.05720827129502,39.23662750855454,10.884371561072872,185.613,16.880535,18.697426,15.614561,3.0828648,12.064551920345494
5862363388206349312,195.7309255875049,-63.468285916524984,-121.12913034394815,-27.49321067893862,13.99637250305867,1214.097,10.661509,11.16828,9.998361,1.169919,6.3915860221294345
5862364144114682112,195.73041001843617,-63.46633839411667,-123.23135660589053,-27.497161492568342,14.018150730984578,1138.3832,10.076491,10.492383,9.490726,1.0016565,5.809944983143081
5862510241727484800,197.40201170302137,-62.78071723526133,-101.72259329786166,118.84763430894216,10.151887024291067,312.41837,15.683082,17.15076,14.497875,2.6528854,10.715815507136213
5862441659684956288,197.79842706842268,-63.03357343609602,-4.121045463302342,25.881353237495187,15.603803910385128,940.4101,14.131228,15.541693,12.965992,2.5757008,10.097380866908516
5862513810813207040,197.0543165866799,-62.7141557142085,-106.54798380533082,-115.9293414510802,15.104320169994041,1084.9861,13.407267,14.694401,12.28407,2.4103308,9.302772531314496
5862445714134119040,197.52173593597644,-62.985719032439825,-96.04039577936436,-12.314625763904147,13.456916880133038,265.4989,16.58329,18.4553,15.300785,3.1545143,12.228017949566826
5862617478490034176,192.1064214462145,-64.17720510372084,26.14071108583682,44.34204718775197,10.87019867624355,487.56387,15.008722,16.463057,13.82791,2.6351461,10.18990971441734
5332842604031560320,179.27021968439908,-64.71668872030507,62.9506185496659,-11.150787305087862,11.019721951432574,982.3162,10.046452,10.398109,9.525057,0.8730526,5.257304751489988
5332976027230663296,179.7159946552118,-63.89487565795932,49.81946936993977,52.853771666013735,15.93226632424044,320.93066,16.444496,18.412075,15.13732,3.2747555,12.455883942172743
5332844631250279936,179.04407768429593,-64.5934819669906,-120.98768493113599,-4.790941971002617,13.841702424127742,1190.9543,13.255143,14.47659,12.154219,2.3223715,8.961090707209145
5862219970697487744,198.52035483768796,-63.52087650926509,-107.06870019708784,28.30374713944068,11.751769994970223,330.46063,9.245801,9.581172,8.736742,0.84442997,4.596317386366952
5862159806788345344,198.1176307013232,-63.82058880911541,-153.0373122618123,-50.19568267239655,10.084983113313585,670.02563,12.943451,13.827293,12.019794,1.8074989,7.961826804483813
5862189253087488768,199.68764498698258,-63.432480671102795,-317.3005789049643,74.4390715802095,22.270088078455846,1509.5125,13.508478,14.974239,12.320297,2.653942,10.247087838058512
5332985029482926464,179.1707773405343,-63.8806192024688,-50.93850050823125,-19.605646912145033,11.977555113729455,882.0904,9.716845,10.082705,9.189583,0.8931217,5.108685448240461
5332906723647151360,178.61516861608112,-64.22043070222,46.25049234718155,18.40112901882095,12.5924324637386,454.3338,15.128854,16.67829,13.907782,2.7705078,10.629401949460764
5332801170510042880,176.1056453285587,-63.851805723979325,-92.50967114541226,55.28807973790189,10.395158894931273,778.3897,9.601593,9.943762,9.092133,0.85162926,4.685748678154358
5333030521780125184,179.19286153514173,-63.288825612321496,-119.10881530981584,18.16356939584459,10.051169203949113,262.7839,15.9754925,17.65393,14.735023,2.918908,10.98657539778582
5332810825596257792,175.33077809998798,-63.82130784803594,-40.5539346015947,2.0030306127988213,12.581490325833828,882.58984,12.99637,14.04288,11.9799795,2.0629005,8.49503075557746
5333034782352159616,178.970774502072,-63.15357874217193,100.03974935917887,42.94762588689744,13.374181278844882,297.84024,16.257498,17.718697,14.975994,2.7427025,11.888833814974468
5862246221539993984,198.9032908157034,-63.2984543412675,18.409166349503124,-6.014861566301268,10.788335793669965,874.64087,12.805411,13.653687,11.902703,1.7509832,7.970183617193328
